scientific,binomial,binomial_index,commons,commons_index,keywords,state,type
Tinamus major,Tinamus major,tinamus major,Great Tinamou,great tinamou,"tinamou,great",,BINOMIAL
Tinamus osgoodi,Tinamus osgoodi,tinamus osgoodi,Black Tinamou,black tinamou,"tinamou,black",,BINOMIAL
Lanius dorsalis,Lanius dorsalis,lanius dorsalis,Taita Fiscal,taita fiscal,"fiscal,taita",,BINOMIAL
Ctenomys pundti,,,,,,NO_COMMONS,
Trinectes fonsecensis,Trinectes fonsecensis,trinectes fonsecensis,Spottedfin Sole,spottedfin sole,"sole,spottedfin",,BINOMIAL
Sula dactylatra,Sula dactylatra,sula dactylatra,Masked Booby,masked booby,"masked,booby",,BINOMIAL
Lagostomus crassus,,,,,,NO_COMMONS,
Lemmus portenkoi,,,,,,NO_COMMONS,
Lophostoma yasuni,,,,,,NO_COMMONS,
Sylvia borin,Sylvia borin,sylvia borin,Garden Warbler,garden warbler,"garden,warbler",,BINOMIAL
Cygnus atratus,Cygnus atratus,cygnus atratus,Black Swan,black swan,"swan,black",,BINOMIAL
Trinomys gratiosus,,,,,,NO_COMMONS,
Arthroleptis affinis,,,,,,NO_COMMONS,
Boophis laurenti,,,,,,NO_COMMONS,
Bufo olivaceus,,,,,,NO_COMMONS,
Vireo pallens,Vireo pallens,vireo pallens,Mangrove Vireo,mangrove vireo,"mangrove,vireo",,BINOMIAL
Hyla surinamensis,,,,,,NO_COMMONS,
Falco rufigularis,Falco rufigularis,falco rufigularis,Bat Falcon,bat falcon,"falcon,bat",,BINOMIAL
Hylodes magalhaesi,,,,,,NO_COMMONS,
Leptopelis fenestratus,,,,,,NO_COMMONS,
Falco severus,Falco severus,falco severus,Oriental Hobby,oriental hobby,"hobby,oriental",,BINOMIAL
Litoria fuscula,,,,,,NO_COMMONS,
Litoria spinifera,,,,,,NO_COMMONS,
Microhyla pulverata,,,,,,NO_COMMONS,
Philautus sahai,,,,,,NO_COMMONS,
Phrynobatrachus minutus,,,,,,NO_COMMONS,
Plectrohyla hartwegi,,,,,,NO_COMMONS,
