Field,FieldName,dbfname,Category,Type,Description,Collection/shape,Example,Required,Indexed,Deleted,Standard,Info,Origin,Filter by,Color by,Default,ProviderGuidanceText
Area ID,areaid,areaid,Location,TEXT,"This would be the geographic object ID as relevant to MOL data, e.g. identifying a grid cell, or an ecoregion or an island group",MOLSourceDBFfields,100,y,y,,mol,,MoL,yes,no,,
Area Name,Areaname,areaname,Location,TEXT,The name associated with the specified AreaId,MOLSourceDBFfields,"""Blabla ecoregion"", ""Niah NP"".",,y,,mol,,MoL,yes,no,,
Source,bibliographicCitation,bc,Source,TEXT,"Publication reference or a URL that provides information about the individual, or collection, resource. ",MOLSourceDBFfields,"image XX in page XX in lit cited, (ex. http://www.iucnredlist.org/technical-documents/spatial-data#mammals)",y,y,,dcterms,,Dublin Core,no,no,Collection Source,
Contributor,contributor,cntributor,Source,TEXT,An entity responsible for uploading the data to Map of Life.,MOL-calculated,"agent who uploads shape files, polygons to Map of Life e.g. ""Jetz Lab""",,y,,dcterms,,Dublin Core,no,no,,
Date End,SurveyEndDate,dateend,Time,TEXT,Survey end date,MOLSourceDBFfields,04-Apr-1977,,y,,mol,,MoL,no,no,CollectionStartDate,
Date Start,SurveyStartDate,datestart,Time,TEXT,Survey start date,MOLSourceDBFfields,02-Feb-1977,,y,,mol,,MoL,no,no,CollectionEndDate,
Origin,establishmentMeans,em,Ecology,SMALLINT,"Categories: 1 = native; 2 = reintroduced; 3 = introduced, 4 = vagrant; 5 = uncertain, not vagrant (i.e.1,2 or 3); 6 = uncertain, maybe vagrant (i.e. 1,2,3 or 4); 1-5 are identical with IUCN 'Origin'.",MOLSourceDBFfields,native,,y,,dwc,,Darwin Core,yes,yes,CollectionOrigin,"Native ? The species is/was native to the area
Reintroduced - The species is/was reintroduced through either direct or indirect human activity.
Introduced ? The species is/was introduced outside of its historical distribution range through either direct or indirect human activity.
Vagrant ? The species is/was recorded once or sporadically, but it is known not to be native to the area.
Origin Uncertain - The species? provenance in an area is not known (it may be native, reintroduced or introduced)
1.Notes:
1. These codes are mutually exclusive; a polygon coded as ?Native? cannot also be coded as ?Introduced?."
Presence,occurrenceStatus,os,Range maps,SMALLINT,"Categories: 1 = Extant, 2 = Probably extant, 3= Possibly extant, 4 = possibly extinct, 5 = extinct (post 1500), 6 = presence uncertain (no recent surveys). All as in IUCN 'Presence'.",MOLSourceDBFfields,extant,,y,,dwc,,Darwin Core,yes,yes,CollectionPresence,"Extant ? The species is known or thought very likely to occur presently in the area, usually encompassing current or recent (post 1980) localities where suitable habitat at appropriate altitudes remains.
Probably Extant ? The species? presence is considered probable, either based on extrapolations of known records, or realistic inferences (e.g., based on distribution of suitable habitat at appropriate altitudes and proximity to areas where it is known or thought very likely to remain Extant). ?Probably Extant? ranges often extend beyond areas where the species is Extant, or may fall between them.
Possibly Extant: The species may possibly occur, and should be searched for, but there are no known records and less than probably occurrence. ?Possibly Extant? ranges often extend beyond areas where the species is Extant (q.v.) or Probably Extant (q.v.), or may fall between them.
Possibly Extinct ? The species was formerly known or thought very likely to occur in the area, but it is most likely now extirpated from the area because habitat loss/other threats are thought likely to have extirpated the species and/or owing to a lack of records in the last 30 years.
Extinct ? The species was formerly known or thought very likely to occur in the area, but there have been no records in the last 30 years and it is almost certain that the species no longer occurs, and/or habitat loss/other threats have almost certainly extirpated the species.
Presence Uncertain ? The species was formerly known or thought very likely to occur in the area but it is no longer known whether it still occurs (usually because there have been no recent surveys).
Notes:
1. These codes are mutually exclusive; a polygon coded as ?Extant? cannot also be coded as ?Extinct?.
2. To obtain the total historical range of a species, one would sum polygons for Extant, Probably Extant, Possibly Extinct, Extinct and Presence Uncertain, but not Possibly Extant."
Polygon ID,PolygonId,polyid,Location,TEXT,This would be some internally shapefile-required sequential ID (one for each row) that uniquely identifies each polygon.,MOLSourceDBFfields,1,y,,,mol,,MoL,no,no,,
Polygon Name,PolygonName,polyname,Location,TEXT,"This may be used to label individual polygons, for instance to name islands within archipelagos.",MOLSourceDBFfields,"Lake Comanche, Boulder county, Breeding area of bird X",,,,mol,,MoL,,,,
